source name	characteristics[biological replicate]	characteristics[cell type]	characteristics[disease]	characteristics[organism part]	characteristics[organism]	characteristics[strain/breed]	characteristics[growth condition]	characteristics[time]	assay name	technology type	comment[alkylation reagent]	comment[cleavage agent details]	comment[collision energy]	comment[data file]	comment[dissociation method]	comment[file uri]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[technical replicate]	comment[tool metadata]	Factor value[growth condition]	Factor value[time]
37C0m_cellculture1	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	37°C	0 min	run1	Proteomic profiling by mass spectrometry	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"22.5%; 25%; 27.5%"	Temp-3-1.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-1.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	37°C	0 min
37C30m_cellculture1	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	37°C	30 min	run2	Proteomic profiling by mass spectrometry	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"22.5%; 25%; 27.5%"	Temp-3-10.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-10.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	37°C	30 min
37C30m_cellculture2	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	37°C	30 min	run3	Proteomic profiling by mass spectrometry	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"22.5%; 25%; 27.5%"	Temp-3-11.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-11.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	37°C	30 min
37C30m_cellculture3	3	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	37°C	30 min	run4	Proteomic profiling by mass spectrometry	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"22.5%; 25%; 27.5%"	Temp-3-12.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-12.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	37°C	30 min
37C60m_cellculture1	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	37°C	60 min	run5	Proteomic profiling by mass spectrometry	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"22.5%; 25%; 27.5%"	Temp-3-13.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-13.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	37°C	60 min
37C60m_cellculture2	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	37°C	60 min	run6	Proteomic profiling by mass spectrometry	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"22.5%; 25%; 27.5%"	Temp-3-14.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-14.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	37°C	60 min
37C60m_cellculture3	3	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	37°C	60 min	run7	Proteomic profiling by mass spectrometry	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"22.5%; 25%; 27.5%"	Temp-3-15.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-15.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	37°C	60 min
42C0m_cellculture1	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	42°C	0 min	run8	Proteomic profiling by mass spectrometry	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"22.5%; 25%; 27.5%"	Temp-3-16.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-16.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	42°C	0 min
42C0m_cellculture2	2	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	42°C	0 min	run9	Proteomic profiling by mass spectrometry	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"22.5%; 25%; 27.5%"	Temp-3-17.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-17.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	42°C	0 min
42C0m_cellculture3	3	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	42°C	0 min	run10	Proteomic profiling by mass spectrometry	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	"22.5%; 25%; 27.5%"	Temp-3-18.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/08/PXD012611/Temp-3-18.raw	1	0.02 Da	NT=Q Exactive HF-X	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	10 ppm	Tris(2-carboxyethyl)phosphine (TCEP)	1	lesSDRF v0.1.0	42°C	0 min
